Name	Source	CR	Type	Size	PP	Image	Token	Named
Corpse Mound	Tome of Beasts 1	11	Undead	H				FALSE
Corpse Walker	Lairs of Etharis	6	Undead	M				FALSE
Corpsejaw	Lairs of Etharis	0.25	Monstrosity	M				FALSE
Couatl	Basic Rules (2014)	4	Celestial	M	15	https://www.dndbeyond.com/avatars/thumbnails/30763/227/1000/1000/638061153443493893.png	zjv6y	FALSE
Count Thullen	Storm King's Thunder	10	Giant	H				FALSE
Counterflux Blastseeker	Guildmasters' Guide to Ravnica	2	Humanoid	M				FALSE
Countess Sansuri	Storm King's Thunder	11	Giant	H				FALSE
Cow	Volo's Guide to Monsters	0.25	Beast	L				FALSE
Crab	Basic Rules (2014)	0	Beast	T	9	https://www.dndbeyond.com/avatars/thumbnails/43939/116/1000/1000/638607415125489733.png	mhkdg	FALSE
Cradle of the Cloud Scion	Bigby Presents: Glory of the Giants	26	Elemental	G				FALSE
Cradle of the Fire Scion	Bigby Presents: Glory of the Giants	25	Elemental	G				FALSE
Cradle of the Frost Scion	Bigby Presents: Glory of the Giants	24	Elemental	G				FALSE
Cradle of the Hill Scion	Bigby Presents: Glory of the Giants	22	Elemental	G				FALSE
Cradle of the Stone Scion	Bigby Presents: Glory of the Giants	23	Elemental	G				FALSE
Cradle of the Storm Scion	Bigby Presents: Glory of the Giants	27	Elemental	G				FALSE
Crag Cat	Storm King's Thunder	1	Monstrosity	L				FALSE
Cranium Rat	Volo's Guide to Monsters	0	Beast	T				FALSE
Cranium Rat Squeaker	Planescape: Adventures in the Multiverse	0	Aberration	T				FALSE
Cranium Rat Squeaker Swarm	Planescape: Adventures in the Multiverse	5	Aberration	M				FALSE
Crater Wurm	Monsters of Drakkenheim	15	Monstrosity	G				FALSE
Crawling Claw	Monster Manual (2014)	0	Undead	T				FALSE
Cressaro	Storm King's Thunder	9	Giant	H				FALSE
Crest City Druid (Wyrmling)	The Griffon's Saddlebag: Book Two	2	Humanoid	M				FALSE
Crest City Druid (Youth)	The Griffon's Saddlebag: Book Two	5	Humanoid	M				FALSE
Crimson Clergy	The Crooked Moon Part Two: Monsters & Adventure Campaign	3	Undead	M				FALSE
Crimson Countess	Dungeons of Drakkenheim	8	Monstrosity	M				FALSE
Crimson Drake	Tome of Beasts 1	1	Dragon	T				FALSE
Crimson Drake (Familiar Variant)	Tome of Beasts 1	1	Dragon	T				FALSE
Crimson Knight	Monsters of Drakkenheim	6	Undead	M				FALSE
Crimson Legion Imp	The Griffon's Saddlebag: Book Two	3	Fiend	S				FALSE
Crinaea	Tales from the Shadows	2	Fey	M				FALSE
Crocodile	Basic Rules (2014)	0.5	Beast	L	10	https://www.dndbeyond.com/avatars/thumbnails/43939/131/1000/1000/638607415525020149.png	8awad	FALSE
Crokek'toeck	Baldur's Gate: Descent into Avernus	14	Fiend	G				TRUE
Crooked Effigy	The Crooked Moon Part Two: Monsters & Adventure Campaign	2	Plant	M				FALSE
Crooked Man	The Crooked Moon Part Two: Monsters & Adventure Campaign	14	Undead	M				FALSE
Crowstorm	The Crooked Moon Part Two: Monsters & Adventure Campaign	3	Fiend	L				FALSE
Crushing Wave Priest	Princes of the Apocalypse	2	Humanoid	M				FALSE
Crushing Wave Reaver	Princes of the Apocalypse	0.5	Humanoid	M				FALSE
Crypt-Starved Vladimir von Drakken	Monsters of Drakkenheim	13	Undead	M				FALSE
Crystal Dragon Wyrmling	Fizban's Treasury of Dragons	2	Dragon	M				FALSE
Crystal Golem	Waterdeep: Dungeon of the Mad Mage	10	Construct	L				FALSE
Crystal Greatwyrm	Fizban's Treasury of Dragons	26	Dragon	G				FALSE
Crystalline Devil	Tome of Beasts 1	6	Fiend	M				FALSE
Crystalline Devil (Devil Summoning Variant)	Tome of Beasts 1	6	Fiend	M				FALSE
Crystalline Dreg	Monsters of Drakkenheim	3	Aberration	M				FALSE
Cult Fanatic	Basic Rules (2014)	2	Humanoid	M	11	https://www.dndbeyond.com/avatars/thumbnails/0/259/1000/1000/636252768307230924.jpeg	9j2hj	FALSE
Cult Fanatic (Knights of the Black Sword)	Icewind Dale: Rime of the Frostmaiden	2	Humanoid	M				FALSE
Cultist	Basic Rules (2014)	0.125	Humanoid	M				FALSE
Cultist (Knights of the Black Sword)	Icewind Dale: Rime of the Frostmaiden	0.125	Humanoid	M				FALSE
Cultist of Bane	Forgotten Realms: Adventures in Faerûn	9	Humanoid	M				FALSE
Cultist of Bhaal	Forgotten Realms: Adventures in Faerûn	7	Humanoid	M				FALSE
Cultist of Myrkul	Forgotten Realms: Adventures in Faerûn	11	Humanoid	M				FALSE
Cuprilach Rilmani	Planescape: Adventures in the Multiverse	12	Celestial	M				FALSE
Cursed Slime	Humblewood Tales	0.5	Ooze	M				FALSE
Cyclopean Dreg	Dungeons of Drakkenheim	0.5	Aberration	M				FALSE
Cyclopean Hulk	Monsters of Drakkenheim	6	Aberration	L				FALSE
Cyclops	Basic Rules (2014)	6	Giant	H	8	https://www.dndbeyond.com/avatars/thumbnails/30762/257/1000/1000/638061114971477789.png	ccd4z	FALSE
Cyclops Stormcaller	Tal'Dorei Campaign Setting Reborn	10	Giant	L				FALSE
Cyglops	The Griffon's Saddlebag: Book Two	8	Ooze	H				FALSE
Dabus	Planescape: Adventures in the Multiverse	2	Celestial	M				FALSE
Daemogoth	Strixhaven: A Curriculum of Chaos	10	Fiend	H				FALSE
Daemogoth Titan	Strixhaven: A Curriculum of Chaos	16	Fiend	G				FALSE
Dagdra Deepforge	Acquisitions Incorporated	2	Humanoid	M				FALSE
Damaged Flesh Golem	Explorer's Guide to Wildemount	1	Construct	M				FALSE
Dancing Flame	Critical Role: Call of the Netherdeep	4	Fiend	M				FALSE
Dao	Monster Manual (2014)	11	Elemental	L				FALSE
Darakhul	Tome of Beasts 1	3	Undead	M				FALSE
Darakhul General	Book of Ebon Tides	15	Undead	M				FALSE
Darathra Shendrel	Storm King's Thunder	0	Humanoid	M				FALSE
Dark Confessor	Monsters of Drakkenheim	9	Undead	M				FALSE
Dark Growth	Monsters of Drakkenheim	5	Plant	M				FALSE
Dark Growth Shambler	Monsters of Drakkenheim	5	Plant	M				FALSE
Dark Servant	Tales from the Shadows	1	Humanoid	M				FALSE
Dark Tide Knight	Princes of the Apocalypse	3	Humanoid	M				FALSE
Darkling	Mordenkainen Presents: Monsters of the Multiverse	0.5	Fey	S				FALSE
Darkling Elder	Mordenkainen Presents: Monsters of the Multiverse	2	Fey	M				FALSE
Darkmantle	Basic Rules (2014)	0.5	Monstrosity	S	10	https://www.dndbeyond.com/avatars/thumbnails/30781/549/1000/1000/638061928264742735.png	vhgxe	FALSE
Darkweaver	Planescape: Adventures in the Multiverse	10	Aberration	M				FALSE
Darribeth Meltimer	Waterdeep: Dungeon of the Mad Mage	6	Humanoid	M				TRUE
Darz Helgar	Storm King's Thunder	0	Humanoid	M				FALSE
Dau	Tome of Beasts 1	4	Fey	S				FALSE
Davil Starsong	Waterdeep: Dragon Heist	6	Humanoid	M				TRUE
Dawndrinker	Lairs of Etharis	5	Monstrosity	L				FALSE
Dead Three Scion	Forgotten Realms: Adventures in Faerûn	16	Humanoid	M				FALSE
Deadbark Dryad	Vecna: Eve of Ruin	13	Fey	M				FALSE
Death Butterfly Swarm	Tome of Beasts 1	4	Beast	L				FALSE
Death Coach	The Griffon's Saddlebag: Book Two	18	Undead	H				FALSE
Death Dog	Basic Rules (2014)	1	Monstrosity	M	15	https://www.dndbeyond.com/avatars/thumbnails/30849/289/1000/1000/638064498770586789.png	8gwma	FALSE
Death Embrace	Critical Role: Call of the Netherdeep	11	Aberration	H				FALSE
Death Giant Reaper	Bigby Presents: Glory of the Giants	12	Giant	H				FALSE
Death Giant Shrouded One	Bigby Presents: Glory of the Giants	15	Giant	H				FALSE
Death Kiss	Mordenkainen Presents: Monsters of the Multiverse	10	Aberration	L				FALSE
Death Knight	Monster Manual (2014)	17	Undead	M				FALSE
Death Slaad	Monster Manual (2014)	10	Aberration	M				FALSE
Death Slaad (control gem variant)	Monster Manual (2014)	10	Aberration	M				FALSE
Death Tyrant	Monster Manual (2014)	14	Undead	L				FALSE
Death’s Head	Van Richten's Guide to Ravenloft	0.5	Undead	T				FALSE
Death's Head of Bhaal	Baldur's Gate: Descent into Avernus	5	Humanoid	M				FALSE
Deathcap Myconid	Tome of Beasts 1	4	Plant	M				FALSE
Deathlock	Mordenkainen's Tome of Foes	4	Undead	M				FALSE
Deathlock Mastermind	Mordenkainen's Tome of Foes	8	Undead	M				FALSE
Deathlock Wight	Mordenkainen Presents: Monsters of the Multiverse	3	Undead	M				FALSE
Deathpact Angel	Guildmasters' Guide to Ravnica	14	Celestial	M				FALSE
Deathwisp	Tome of Beasts 1	7	Undead	M				FALSE
Deathwolf	Vecna: Eve of Ruin	15	Undead	M				FALSE
Decaton Modron	Planescape: Adventures in the Multiverse	8	Construct	L				FALSE
Deep Crow	Acquisitions Incorporated	9	Monstrosity	L				FALSE
Deep Dragon Wyrmling	Fizban's Treasury of Dragons	1	Dragon	M				FALSE
Deep Drake	Tome of Beasts 1	9	Dragon	L				FALSE
Deep Dreg Warrior	Monsters of Drakkenheim	0.25	Aberration	M				FALSE
Deep Gnome (Svirfneblin)	Basic Rules (2014)	0.5	Humanoid (gnome)	S	12	https://www.dndbeyond.com/avatars/thumbnails/9/112/1000/1000/636323610009818415.jpeg	5dn3m	FALSE
Deep Knight	Monsters of Drakkenheim	3	Aberration	L				FALSE
Deep One	Tome of Beasts 1	2	Humanoid	M				FALSE
Deep One Archimandrite	Tome of Beasts 1	8	Humanoid	L				FALSE
Deep One Priest	Tome of Beasts 1	4	Humanoid	M				FALSE
Deep Rothé	Mordenkainen Presents: Monsters of the Multiverse	0.25	Beast	M				FALSE
Deep Scion	Mordenkainen Presents: Monsters of the Multiverse	3	Monstrosity	M				FALSE
Deep Siren	Monsters of Drakkenheim	5	Aberration	M				FALSE
Deepdreck	The Crooked Moon Part Two: Monsters & Adventure Campaign	4	Monstrosity	M				FALSE
Deer	Basic Rules (2014)	0	Beast	M				FALSE
Deformed Duergar	Waterdeep: Dungeon of the Mad Mage	1	Humanoid	L				FALSE
Degenerate Titan	Tome of Beasts 1	8	Giant	H				FALSE
Degloth	Vecna: Eve of Ruin	11	Fiend	L				FALSE
Deinonychus	Mordenkainen Presents: Monsters of the Multiverse	1	Beast	M				FALSE
Delerium Dragon Wyrmling	Monsters of Drakkenheim	5	Dragon	M				FALSE
Delerium Dreg	Monsters of Drakkenheim	0.5	Aberration	M				FALSE
Demogorgon	Monsters of Drakkenheim	26	Fiend					TRUE
Dermot Wurder (Tier 1)	Critical Role: Call of the Netherdeep	3	Humanoid					TRUE
Dermot Wurder (Tier 2)	Critical Role: Call of the Netherdeep	5	Humanoid					TRUE
Dermot Wurder (Tier 3)	Critical Role: Call of the Netherdeep	8	Humanoid	S				FALSE
Derrion Shadowdusk	Waterdeep: Dungeon of the Mad Mage	9	Humanoid					TRUE
Derro	Mordenkainen Presents: Monsters of the Multiverse	0.25	Aberration	S				FALSE
Derro Apprentice	Quests from the Infinite Staircase	1	Aberration	S				FALSE
Derro Fetal Savant	Tome of Beasts 1	4	Humanoid	T				FALSE
Derro Raider	Quests from the Infinite Staircase	0.25	Aberration	S				FALSE
Derro Savant	Out of the Abyss	3	Humanoid	S				FALSE
Derro Shadow Antipaladin	Tome of Beasts 1	5	Humanoid	S				FALSE
Derwyth	Quests from the Infinite Staircase	2	Humanoid					TRUE
Desert Cat	The Griffon's Saddlebag: Book Two	0.25	Elemental	T				FALSE
Desert Cat (Familiar Variant)	The Griffon's Saddlebag: Book Two	0.25	Elemental	T				FALSE
Desert Giant	Tome of Beasts 1	9	Giant	H				FALSE
Deva	Basic Rules (2014)	10	Celestial	M	19	https://www.dndbeyond.com/avatars/thumbnails/30761/784/1000/1000/638061093601900776.png	n3947	FALSE
Devil Dog	Acquisitions Incorporated	0.25	Humanoid	M				FALSE
Dezmyr Shadowdusk	Waterdeep: Dungeon of the Mad Mage	17	Undead					TRUE
Dire Troll	Mordenkainen Presents: Monsters of the Multiverse	13	Giant	H				FALSE
Dire Wolf	Basic Rules (2014)	1	Beast	L	13	https://www.dndbeyond.com/avatars/thumbnails/43939/148/1000/1000/638607415935380377.png	pm6ru	FALSE
Diseased Giant Rat	Basic Rules (2014)	0.125	Beast	S				FALSE
Disembodied Psyche	Monsters of Drakkenheim	10	Undead	M				FALSE
Displaced Dreg	Dungeons of Drakkenheim	0.5	Aberration	M				FALSE
Displacer Beast	Monster Manual (2014)	3	Monstrosity	L				FALSE
Displacer Beast Kitten	The Wild Beyond the Witchlight	0.125	Monstrosity	S				FALSE
Displacer Dreg	Monsters of Drakkenheim	2	Aberration	M				FALSE
Dissimortuum	Tome of Beasts 1	7	Undead	M				FALSE
Diviner	Volo's Guide to Monsters	8	Humanoid	M				FALSE
Diviner Wizard	Mordenkainen Presents: Monsters of the Multiverse	8	Humanoid	M				FALSE
Djinni	Basic Rules (2014)	11	Elemental	L	13	https://www.dndbeyond.com/avatars/thumbnails/30783/897/1000/1000/638062023191330690.png	95ueq	FALSE
Dogmole	Tome of Beasts 1	1	Beast	M				FALSE
Dogmole Juggernaut	Tome of Beasts 1	5	Monstrosity	L				FALSE
Dohwar	Spelljammer: Adventures in Space	0	Fey	S				FALSE
Dolgaunt	Eberron: Rising from the Last War	3	Aberration	M				FALSE
Dolgrim	Eberron: Rising from the Last War	0.5	Aberration	S				FALSE
Dolphin	Mordenkainen Presents: Monsters of the Multiverse	0.125	Beast	M				FALSE
Dolphin Delighter	Mordenkainen Presents: Monsters of the Multiverse	3	Fey	M				FALSE
Domovoi	Tome of Beasts 1	4	Fey	M				FALSE
Don-Jon Raskin	Dragon of Icespire Peak	0.5	Humanoid	M				TRUE
Donaar Blit’zen	Acquisitions Incorporated	3	Humanoid	M				FALSE
Doomcaller	Lairs of Etharis	15	Fiend	M				FALSE
Doomguard Doom Lord	Planescape: Adventures in the Multiverse	12	Humanoid	M				FALSE
Doomguard Rot Blade	Planescape: Adventures in the Multiverse	6	Humanoid	M				FALSE
Doomwake Giant	Mythic Odysseys of Theros	11	Giant	H				FALSE
Doppelganger	Basic Rules (2014)	3	Monstrosity (shapechanger)	M	11	https://www.dndbeyond.com/avatars/thumbnails/30782/216/1000/1000/638061954905389630.png	4wvaa	FALSE
Doppelrat	Tome of Beasts 1	2	Monstrosity	T				FALSE
Dorreq	Tome of Beasts 1	4	Aberration	M				FALSE
Doty X	Tal'Dorei Campaign Setting Reborn	6	Construct	M				FALSE
Downcast Apostate	Lairs of Etharis	11	Humanoid	M				FALSE
Downcast Mercenary	Lairs of Etharis	5	Humanoid	M				FALSE
Dr. Everett Freed, Reanimator	Monsters of Drakkenheim	13	Humanoid	M				TRUE
Dracohydra	Fizban's Treasury of Dragons	11	Monstrosity	H				FALSE
Draconian Dreadnought	Fizban's Treasury of Dragons	4	Monstrosity	L				FALSE
Draconian Foot Soldier	Fizban's Treasury of Dragons	0.5	Monstrosity	M				FALSE
Draconian Infiltrator	Fizban's Treasury of Dragons	3	Monstrosity	M				FALSE
Draconian Mage	Fizban's Treasury of Dragons	2	Monstrosity	M				FALSE
Draconian Mastermind	Fizban's Treasury of Dragons	6	Monstrosity	M				FALSE
Draconic Shard	Fizban's Treasury of Dragons	17	Undead	H				FALSE
Dracophage Subject	Dragonlance: Shadow of the Dragon Queen	3	Monstrosity	M				FALSE
Draegloth	Mordenkainen Presents: Monsters of the Multiverse	7	Fiend	L				FALSE
Draft Horse	Basic Rules (2014)	0.25	Beast	L	10	https://www.dndbeyond.com/avatars/thumbnails/43939/172/1000/1000/638607416542360472.png	2ckws	FALSE
Dragon Army Dragonnel	Dragonlance: Shadow of the Dragon Queen	3	Dragon	L				FALSE
Dragon Army Officer	Dragonlance: Shadow of the Dragon Queen	3	Humanoid	M				FALSE
Dragon Army Soldier	Dragonlance: Shadow of the Dragon Queen	1	Humanoid	M				FALSE
Dragon Blessed	Fizban's Treasury of Dragons	5	Humanoid	M				FALSE
Dragon Chosen	Fizban's Treasury of Dragons	3	Humanoid	M				FALSE
Dragon Eel	Tome of Beasts 1	12	Dragon	H				FALSE
Dragon Hunter	Journeys through the Radiant Citadel	3	Humanoid	M				FALSE
Dragon Speaker	Fizban's Treasury of Dragons	2	Humanoid	S				FALSE
Dragon Tortoise	Candlekeep Mysteries	17	Dragon	G				FALSE
Dragon Turtle	Basic Rules (2014)	17	Dragon	G	11	https://www.dndbeyond.com/avatars/thumbnails/0/291/1000/1000/636252771128151641.jpeg	gvw93	FALSE
Dragon Turtle Wyrmling	Fizban's Treasury of Dragons	4	Dragon	L				FALSE
Dragonbait	Tomb of Annihilation	5	Humanoid	M				FALSE
Dragonblood Ooze	Fizban's Treasury of Dragons	5	Ooze	L				FALSE
Dragonbone Golem	Fizban's Treasury of Dragons	11	Construct	L				FALSE
Dragonborn of Bahamut	Fizban's Treasury of Dragons	8	Humanoid	M				FALSE
Dragonborn of Sardior	Fizban's Treasury of Dragons	6	Humanoid	M				FALSE
Dragonborn of Tiamat	Fizban's Treasury of Dragons	7	Humanoid	M				FALSE
Dragonclaw	Tyranny of Dragons	1	Humanoid	M				FALSE
Dragonfang	Tyranny of Dragons	5	Humanoid	M				FALSE
Dragonflesh Abomination	Fizban's Treasury of Dragons	6	Monstrosity	H				FALSE
Dragonflesh Grafter	Fizban's Treasury of Dragons	3	Monstrosity	L				FALSE
Dragonleaf Tree	Tome of Beasts 1	8	Plant	L				FALSE
Dragonleaf Tree (Acid)	Tome of Beasts 1	8	Plant	L				FALSE
Dragonleaf Tree (Cold)	Tome of Beasts 1	8	Plant	L				FALSE
Dragonleaf Tree (Fire)	Tome of Beasts 1	8	Plant	L				FALSE
Dragonleaf Tree (Lightning)	Tome of Beasts 1	8	Plant	L				FALSE
Dragonleaf Tree (Poison)	Tome of Beasts 1	8	Plant	L				FALSE
Dragonnel	Fizban's Treasury of Dragons	2	Dragon	L				FALSE
Dragonsoul	Tyranny of Dragons	7	Humanoid	M				FALSE
Dragonwing	Tyranny of Dragons	2	Humanoid	M				FALSE
Drakkenheim Sewer Gator	Monsters of Drakkenheim	12	Monstrosity	H				FALSE
Drakkenhob	The Crooked Moon Part Two: Monsters & Adventure Campaign	9	Dragon	L				FALSE
Drakon	Tome of Beasts 1	5	Dragon	L				FALSE
Dralmorrer Borngray	Tyranny of Dragons	3	Humanoid	M				TRUE
Drannin Splithelm	Princes of the Apocalypse	7	Humanoid	M				TRUE
Dread Warrior	Tales from the Yawning Portal	1	Undead	M				FALSE
Dream Eater (KP)	Tome of Beasts 1	5	Fiend	M				FALSE
Dream Eater (The Crooked Moon)	The Crooked Moon Part Two: Monsters & Adventure Campaign	10	Monstrosity	L				FALSE
Drella Swoop	Humblewood Tales	4	Humanoid	S				TRUE
Drelnza	Quests from the Infinite Staircase	15	Undead	M				TRUE
Dretch	Basic Rules (2014)	0.25	Fiend (demon)	S	9	https://www.dndbeyond.com/avatars/thumbnails/30781/610/1000/1000/638061931201709292.png	yshna	FALSE
Drider	Basic Rules (2014)	6	Monstrosity	L	15	https://www.dndbeyond.com/avatars/thumbnails/30782/751/1000/1000/638061974723624008.png	2vpa9	FALSE
Drider (variant)	Monster Manual (2014)	6	Monstrosity	L				FALSE
Drivvin Freth	Waterdeep: Dungeon of the Mad Mage	12	Humanoid	M				TRUE
Droki	Out of the Abyss	2	Humanoid	S				TRUE
Drow	Basic Rules (2014)	0.25	Humanoid (elf)	M	12	https://www.dndbeyond.com/avatars/thumbnails/16/501/1000/1000/636376310726273495.jpeg	vasqt	FALSE
Drow Arachnomancer	Mordenkainen Presents: Monsters of the Multiverse	13	Humanoid	M				FALSE
Drow Assassin	Waterdeep: Dungeon of the Mad Mage	8	Humanoid	M				FALSE
Drow Elite Warrior	Monster Manual (2014)	5	Humanoid	M				FALSE
Drow Elite Warrior of Lolth	Forgotten Realms: Adventures in Faerûn	5	Humanoid	M				FALSE
Drow Favored Consort	Mordenkainen Presents: Monsters of the Multiverse	18	Humanoid	M				FALSE
Drow Gunslinger	Waterdeep: Dragon Heist	4	Humanoid	M				FALSE
Drow House Captain	Mordenkainen Presents: Monsters of the Multiverse	9	Humanoid	M				FALSE
Drow Inquisitor	Mordenkainen Presents: Monsters of the Multiverse	14	Humanoid	M				FALSE
Drow Inquisitor (Summoner Variant)	Mordenkainen Presents: Monsters of the Multiverse	14	Humanoid	M				FALSE
Drow Mage	Monster Manual (2014)	7	Humanoid	M				FALSE
Drow Mage of Lolth	Forgotten Realms: Adventures in Faerûn	7	Humanoid	M				FALSE
Drow Matron Mother	Mordenkainen Presents: Monsters of the Multiverse	20	Humanoid	M				FALSE
Drow Mother of Rebellion	Mordenkainen Presents: Monsters of the Multiverse	20	Humanoid	M				FALSE
Drow of Lolth	Forgotten Realms: Adventures in Faerûn	0.25	Humanoid	M				FALSE
Drow Priestess of Lolth	Forgotten Realms: Adventures in Faerûn	8	Humanoid	M				FALSE
Drow Shadowblade	Mordenkainen Presents: Monsters of the Multiverse	11	Humanoid	M				FALSE
Drow Shadowblade (Summoner Variant)	Mordenkainen Presents: Monsters of the Multiverse	11	Humanoid	M				FALSE
Drow Spore Servant	Out of the Abyss	0.125	Plant	M				FALSE
Drowned Ascetic	Ghosts of Saltmarsh	3	Undead	M				FALSE
Drowned Assassin	Ghosts of Saltmarsh	4	Undead	M				FALSE
Drowned Blade	Ghosts of Saltmarsh	2	Undead	M				FALSE
Drowned Maiden	Tome of Beasts 1	5	Undead	M				FALSE
Drowned Master	Ghosts of Saltmarsh	9	Undead	M				FALSE
Druid	Basic Rules (2014)	2	Humanoid	M				FALSE
Druid of the Old Ways	Guildmasters' Guide to Ravnica	7	Humanoid	M				FALSE
Druid of the Sanguine Rite	Monsters of Drakkenheim	12	Undead	M				FALSE
Dryad	Basic Rules (2014)	1	Fey	M	14	https://www.dndbeyond.com/avatars/thumbnails/30782/916/1000/1000/638061981460060607.png	zxvnn	FALSE
Duchess Brimskarda	Storm King's Thunder	9	Giant	H				FALSE
Duergar	Basic Rules (2014)	1	Humanoid (dwarf)	M	10	https://www.dndbeyond.com/avatars/thumbnails/30782/763/1000/1000/638061975214164210.png	rt3s8	FALSE
Duergar Alchemist	Out of the Abyss	1	Humanoid	M				FALSE
Duergar Darkhaft	Out of the Abyss	2	Humanoid	M				FALSE
Duergar Despot	Mordenkainen's Tome of Foes	12	Humanoid	M				FALSE
Duergar Hammerer	Mordenkainen's Tome of Foes	2	Construct	M				FALSE
Duergar Kavalrachni	Mordenkainen Presents: Monsters of the Multiverse	2	Humanoid	M				FALSE
Duergar Keeper of the Flame	Out of the Abyss	2	Humanoid	M				FALSE
Duergar Mind Master	Mordenkainen's Tome of Foes	2	Humanoid	M				FALSE
Duergar Screamer	Mordenkainen's Tome of Foes	3	Construct	M				FALSE
Duergar Soulblade	Mordenkainen Presents: Monsters of the Multiverse	1	Humanoid	M				FALSE
Duergar Spore Servant	Out of the Abyss	0.5	Plant	M				FALSE
Duergar Spy	Tales from the Yawning Portal	2	Humanoid	M				FALSE
Duergar Stone Guard	Mordenkainen Presents: Monsters of the Multiverse	2	Humanoid	M				FALSE
Duergar Warlord	Mordenkainen's Tome of Foes	6	Humanoid	M				FALSE
Duergar Xarrorn	Mordenkainen Presents: Monsters of the Multiverse	2	Humanoid	M				FALSE
Duke Thalamra Vanthampur	Baldur's Gate: Descent into Avernus	4	Humanoid	M				TRUE
Duke Zalto	Storm King's Thunder	9	Giant	H				FALSE
Dullahan	Van Richten's Guide to Ravenloft	10	Undead	M				FALSE
Dullahan (KP)	Tome of Beasts 1	11	Fey	L				FALSE
Dune Mimic	Tome of Beasts 1	8	Monstrosity	H				FALSE
Duodrone	Monster Manual (2014)	0.25	Construct	M				FALSE
Durheim Guide	The Griffon's Saddlebag: Book Two	4	Humanoid	M				FALSE
Durheim Initiate	The Griffon's Saddlebag: Book Two	0.5	Humanoid	M				FALSE
Durheim Leader	The Griffon's Saddlebag: Book Two	11	Humanoid	M				FALSE
Durheim Leader with Lightseer's Gaze (Variant)	The Griffon's Saddlebag: Book Two	11	Humanoid	M				FALSE
Durnan	Waterdeep: Dragon Heist	9	Humanoid	M				TRUE
Durnn	Tales from the Yawning Portal	1	Humanoid	M				TRUE
Dusk Hag	Eberron: Rising from the Last War	6	Fey	M	16	https://5e.tools/img/bestiary/ERLW/Dusk%20Hag.webp	zmhm3	FALSE
Dusktail	Humblewood Tales	0	Beast	T				FALSE
Duskthorn Dryad	Tome of Beasts 1	3	Fey	M				FALSE
Dust Devil	Basic Rules (2014)	5	Elemental	L				FALSE
Dust Goblin	Tome of Beasts 1	0.25	Humanoid	S				FALSE
Dust Hulk	Bigby Presents: Glory of the Giants	5	Elemental	L				FALSE
Dust Mephit	Basic Rules (2014)	0.5	Elemental	S	12	https://www.dndbeyond.com/avatars/thumbnails/34175/931/1000/1000/638190241938100148.png	m9988	FALSE
Dust Mephit (Summoner Variant)	Monster Manual (2014)	0.5	Elemental	S				FALSE
Duvessa Shane	Storm King's Thunder	0	Humanoid	M				FALSE
Dwarf Skeleton	Phandelver and Below: The Shattered Obelisk	0.5	Undead	M				FALSE
Dwarven Ringmage	Tome of Beasts 1	7	Humanoid	M				FALSE
Dwarven Worker	Infernal Machine Rebuild	0.125	Humanoid	M				FALSE
Dybbuk	Mordenkainen Presents: Monsters of the Multiverse	4	Fiend	M				FALSE
Dyra	The Griffon's Saddlebag: Book Two	5	Fiend	S				FALSE
Dyra Juggernaut	The Griffon's Saddlebag: Book Two	10	Fiend	M				FALSE
Dyrrn	Eberron: Rising from the Last War	24	Aberration	M				TRUE
Dzaan	Icewind Dale: Rime of the Frostmaiden	4	Humanoid	M				TRUE
Dzaan's Simulacrum	Icewind Dale: Rime of the Frostmaiden	1	Construct	M				TRUE
Eagle	Basic Rules (2014)	0	Beast	S	14	https://www.dndbeyond.com/avatars/thumbnails/30849/292/1000/1000/638064498871776868.png	rbanw	FALSE
Eala	Tome of Beasts 1	2	Monstrosity	S				FALSE
Earth Elemental	Basic Rules (2014)	5	Elemental	L	10	https://www.dndbeyond.com/avatars/thumbnails/30783/692/1000/1000/638062015664899420.png	bnu5g	FALSE
Earth Elemental Myrmidon	Mordenkainen Presents: Monsters of the Multiverse	7	Elemental	M				FALSE
Eater of Dust	Tome of Beasts 1	9	Aberration	M				FALSE
Eater of Hope	Mythic Odysseys of Theros	6	Fiend	L				FALSE
Eater of Knowledge	Planescape: Adventures in the Multiverse	6	Aberration	L				FALSE
Eblis	Tomb of Annihilation	1	Monstrosity	L				FALSE
Echo of Demogorgon	Bigby Presents: Glory of the Giants	6	Fiend	L				FALSE
Edimmu	Tome of Beasts 1	4	Undead	M				FALSE
Eel Hound	Tome of Beasts 1	2	Fey	M				FALSE
Effulgent Cnidarian	Monsters of Drakkenheim	9	Aberration	L				FALSE
Efreeti	Basic Rules (2014)	11	Elemental	L	12	https://www.dndbeyond.com/avatars/thumbnails/30784/76/1000/1000/638062028391329539.png	876bz	FALSE
Egg Hunter Adult	Fizban's Treasury of Dragons	5	Monstrosity	S				FALSE
Egg Hunter Hatchling	Fizban's Treasury of Dragons	2	Monstrosity	T				FALSE
Eidolon	Mordenkainen's Tome of Foes	12	Undead	M				FALSE
Eigeron’s Spirit	Storm King's Thunder	4	Undead	H				FALSE
Einherjar	Tome of Beasts 1	7	Humanoid	M				FALSE
Elder Black Pudding	Tales from the Yawning Portal	4	Ooze	H				FALSE
Elder Brain	Mordenkainen Presents: Monsters of the Multiverse	14	Aberration	L				FALSE
Elder Brain Dragon	Fizban's Treasury of Dragons	22	Aberration	G				FALSE
Elder Lava Wurm	The Griffon's Saddlebag: Book Two	7	Dragon	L				FALSE
